Task,Start,Finish,Resource
Patient 1,09:26:00,09:28:00,daily_rounds
Patient 1,09:44:00,09:49:00,consultation
Patient 1,09:49:00,09:53:00,x_ray
Patient 1,10:56:00,11:31:00,ct_scan
Patient 1,11:31:00,11:37:00,dispensary
Patient 2,09:23:00,09:26:00,daily_rounds
Patient 2,09:26:00,09:44:00,consultation
Patient 2,10:00:00,10:33:00,ct_scan
Patient 2,10:33:00,10:42:00,x_ray
Patient 2,10:42:00,10:56:00,dispensary
Patient 3,09:00:00,09:09:00,daily_rounds
Patient 3,09:09:00,09:31:00,ct_scan
Patient 3,09:31:00,09:40:00,x_ray
Patient 3,09:49:00,10:04:00,consultation
Patient 3,10:04:00,10:12:00,dispensary
Patient 4,09:09:00,09:12:00,daily_rounds
Patient 4,09:12:00,09:20:00,x_ray
Patient 4,09:31:00,10:00:00,ct_scan
Patient 4,10:04:00,10:17:00,consultation
Patient 4,10:17:00,10:37:00,dispensary
Patient 5,09:12:00,09:23:00,daily_rounds
Patient 5,09:53:00,10:07:00,x_ray
Patient 5,10:17:00,10:31:00,consultation
Patient 5,10:33:00,10:56:00,ct_scan
Patient 5,10:56:00,11:08:00,dispensary
